Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS 
2.62,359.96,944.52,0.54,0.21,8.83,5.79,0.67,17.78
0.95,1327.61,1263.86,0.63,0.66,12.01,9.7,1.76,17.78
0.78,3240.3,2528.4,0.81,0.94,9.81,5.55,2.05,17.77
0.9,2516.9,2264.4,0.75,0.79,7.79,6.48,1.8,17.77
0.85,2208.96,1887.14,0.69,0.81,9,6.57,1.94,17.77
0.88,2282.13,2018.56,0.7,0.79,5.72,4.67,1.86,17.77
0.9,1872.02,1690.99,0.67,0.74,9.35,7.18,1.84,17.77
0.81,2690.04,2166.53,0.72,0.9,9.7,8.62,2,17.77
1.02,1779.98,1811.67,0.68,0.67,10.61,6.01,1.63,17.76
0.72,2498.4,1776.4,0.7,0.96,11.2,7.94,2.23,17.75
0.81,2321.96,1888.83,0.72,0.88,11.37,6.87,1.97,17.75
0.74,2623.7,1939.6,0.72,0.95,10.03,6.79,2.15,17.74
0.7,2692.56,1897.59,0.73,1.03,8.79,6.62,2.27,17.74
0.94,2113.9,1994,0.69,0.75,7.44,6.42,1.73,17.73
0.82,1781.22,1454.24,0.67,0.82,13.22,5.38,2.01,17.73
1.09,1969.54,2150.81,0.69,0.63,6,4.66,1.52,17.73
0.81,2313.8,1882.2,0.77,0.88,11.37,6.87,1.98,17.72
0.72,2948.79,2122.25,0.69,0.95,6.72,6.25,2.24,17.71
1.64,905.43,1482.58,0.64,0.39,6.07,5.19,1.05,17.71
1.33,1096.78,1429.03,0.47,0.36,7.72,7.07,1.29,17.71
0.96,1904.03,1830.9,0.69,0.72,10.32,6.84,1.7,17.7
0.6,3751.42,2232.76,0.74,1.25,8.15,7.25,2.59,17.7
0.84,2626.77,2196.8,0.65,0.77,9.57,5.96,1.92,17.7
0.95,1249.88,1157.59,0.6,0.63,14.25,13.93,1.73,17.69
0.74,2525.34,1855.82,0.6,0.81,10.46,7.25,2.18,17.69
0.78,2014.68,1567.23,0.68,0.87,11.36,8.27,2.09,17.68
1.01,1406.32,1423.94,0.64,0.63,11.7,10.67,1.66,17.68
0.57,4567.61,2590.08,0.76,1.34,7.47,5.89,2.71,17.68
0.88,2564.67,2245.99,0.72,0.82,7.36,4.9,1.87,17.68
0.83,2204.4,1819.7,0.76,0.86,10.79,6.61,1.93,17.67
1.04,1224.5,1275.2,0.59,0.62,10.74,9.75,1.61,17.67
0.78,2011.2,1564.5,0.66,0.88,11.37,8.27,2.08,17.65
0.81,2383.3,1927.5,0.78,0.89,10.86,6.69,1.97,17.65
0.64,3129.64,2010.89,0.72,1.11,8.09,6.22,2.45,17.65
1.02,1482.08,1510.85,0.64,0.63,10.61,9.6,1.64,17.65
0.79,2796.7,2221,0.69,0.91,9.09,6.13,2.04,17.64
1,1540.13,1532.52,0.65,0.65,11.05,9.98,1.68,17.64
1.57,741.34,1162.82,0.6,0.38,8.01,3.8,1.08,17.63
0.58,4087.91,2375.27,0.73,1.25,7.46,6.22,2.64,17.63
0.81,1728.99,1398.18,0.67,0.83,11,10.81,2,17.63
2.31,764.3,1762.5,0.55,0.28,5.14,4.24,0.74,17.62
0.81,2233.5,1815.5,0.78,0.88,10.91,6.79,1.97,17.62
0.77,2533.74,1963.39,0.68,0.88,13.08,6.54,2.06,17.61
1.22,624.6,764,0.32,0.32,8.2,7.95,1.4,17.59
0.79,0,0,0.77,0.91,14.47,3.66,2.02,17.59
0.88,2343.61,2060.84,0.72,0.81,10.7,7.05,1.83,17.59
0.8,1793.54,1433.72,0.67,0.84,11.28,11.1,2.01,17.59
0.77,2560.2,1961.1,0.77,0.93,13.09,6.53,2.05,17.57
0.71,2716.1,1928.76,0.72,1.02,8.67,6.49,2.23,17.57
1.07,1383.35,1478.54,0.65,0.61,11.87,10.79,1.53,17.57
1.41,1253.4,1762.1,0.54,0.45,6.53,5.76,1.19,17.56
1.09,2199.8,2392.1,0.72,0.66,7.25,5.79,1.49,17.56
0.7,2720.56,1899.81,0.73,1.05,8.91,6.46,2.27,17.56
0.85,2530.94,1953.71,0.67,0.79,9.5,5.6,1.88,17.56
0.85,2214.4,1891.7,0.6,0.81,9,6.57,1.92,17.55
0.75,3193.07,2399.37,0.72,0.96,6.15,5.13,2.12,17.55
0.72,2222.9,1608.5,0.67,0.94,12.85,10.88,2.22,17.53
2.64,347.96,919.35,0.54,0.2,8.86,5.64,0.65,17.52
0.66,3573.77,2361.75,0.71,1.08,8.4,7.75,2.38,17.52
0.66,4127.36,2723.8,0.73,1.11,6.07,4.92,2.37,17.52
0.7,3213.1,2242.5,0.78,1.02,12.14,7.11,2.23,17.51
0.63,2730.22,1711.89,0.71,1.13,7.59,6.79,2.49,17.51
0.69,3128.54,2146.73,0.71,1.04,11.37,5.02,2.27,17.51
0.72,2326.05,1666.51,0.71,0.99,10.09,9.35,2.21,17.5
0.6,3584.15,2149.05,0.74,1.23,8.3,6.54,2.55,17.5
0.73,2048.28,1505.1,0.67,0.91,9.62,9.21,2.18,17.5
0.59,3961.41,2337.29,0.74,1.25,7.72,6.5,2.58,17.5
0.96,2397.9,2306.7,0.74,0.72,8.14,5.87,1.67,17.49
0.89,2007.3,1794.6,0.65,0.75,9.16,7.02,1.82,17.49
1.36,1393.1,1901,0.52,0.46,6.96,6.29,1.23,17.49
0.81,1882.68,1522.46,0.66,0.82,11.74,9.92,2.01,17.48
1.39,1349.8,1875.3,0.52,0.45,6.96,6.29,1.2,17.47
0.76,3161.9,2391.2,0.72,0.92,7.53,4.96,2.07,17.47
0.81,2381.84,1926.29,0.72,0.89,10.86,6.69,1.95,17.47
0.87,2011.87,1738.23,0.65,0.75,16.34,5.7,1.81,17.47
0.84,2473.55,2022.63,0.68,0.81,11.34,4.83,1.87,17.47
0.81,2245.3,1828.63,0.72,0.88,10.83,6.67,1.94,17.46
0.63,4041.51,2553.66,0.75,1.19,8.04,5.22,2.44,17.46
0.71,3304.08,2344.32,0.71,1.01,7.45,5.82,2.2,17.46
0.88,1592.37,1394.87,0.67,0.77,10.36,5.6,1.81,17.45
0.78,2811.04,2188.68,0.72,0.93,9.09,6.13,2.05,17.45
0.72,2931.79,2082.13,0.64,0.89,8.52,6.64,2.19,17.45
0.78,2568.9,2012.4,0.75,0.88,11.38,6.18,2.02,17.43
3.01,535.2,1611.4,0.54,0.2,5.17,4.13,0.57,17.43
0.83,2184.5,1819.8,0.77,0.86,10.76,6.59,1.9,17.43
0.84,1867.1,1564.8,0.6,0.79,9.24,7.54,1.94,17.43
0.6,3721.29,2219.2,0.72,1.22,7.58,4.99,2.56,17.43
0.58,4813.61,2814.81,0.72,1.24,5.91,4.33,2.59,17.43
0.81,2248.2,1831,0.77,0.88,10.83,6.67,1.95,17.42
0.83,2072.77,1726.03,0.68,0.81,7.34,6.28,1.93,17.41
0.69,2933.54,2026.13,0.7,1.02,8.33,6.81,2.27,17.41
0.8,2569.67,2046.5,0.69,0.87,8.78,6.21,1.99,17.4
1.47,1678.37,2473.12,0.71,0.48,6.46,5.36,1.12,17.4
0.72,2937.6,2103.3,0.73,0.98,8.53,6.66,2.17,17.39
1.36,1140.6,1553.1,0.55,0.46,8.64,5.57,1.21,17.37
1.12,1285.6,1440.9,0.7,0.57,11.61,10.82,1.45,17.36
0.85,2533.5,1930.3,0.76,0.83,14.03,9.05,1.86,17.35
0.99,1258.4,1250.6,0.74,0.71,14.7,14.4,1.63,17.35
0.59,4911.71,2916.06,0.74,1.24,6.76,5.45,2.55,17.35
1.04,1459.4,1513.4,0.67,0.63,11.32,10.13,1.56,17.34
0.97,1730.09,1673.2,0.67,0.69,14.75,5.97,1.66,17.34
0.99,1583.97,1575.69,0.67,0.67,12.02,8.59,1.63,17.34
0.68,3969.83,2681.07,0.73,1.08,6.5,6.09,2.29,17.34
0.85,2707.33,2298.67,0.71,0.84,5.95,5.39,1.89,17.33
1.13,1297.1,1467.6,0.72,0.57,11.62,11,1.43,17.31
1.07,1536.49,1639.77,0.67,0.63,5.64,4.57,1.54,17.31
0.81,0,0,0.69,0.84,16.83,3.48,1.96,17.3
0.73,2667.21,1938.83,0.7,0.97,10.03,6.79,2.14,17.3
1.37,1086.1,1486.7,0.53,0.46,8.48,5.32,1.2,17.29
0.76,2414.02,1829.3,0.7,0.93,8.44,6.62,2.08,17.29
0.8,2457.96,1954.95,0.67,0.84,6.55,5.82,2.01,17.29
1.14,1212.49,1391.7,0.55,0.48,12.58,3.83,1.44,17.29
1.12,1283.04,1413.48,0.52,0.47,10.09,9.78,1.47,17.29
0.72,2588,1868.9,0.72,0.99,9.28,6.55,2.14,17.27
0.91,2322.16,2114.18,0.71,0.78,9.46,5.57,1.74,17.27
1.34,1613.84,2118.88,0.62,0.46,6.39,5.84,1.22,17.27
0.93,2251.2,2084.2,0.73,0.77,9.46,5.55,1.7,17.26
0.98,1052.68,1030.35,0.71,0.72,13.36,12.06,1.69,17.26
1.04,1747.1,1810.3,0.66,0.66,10.07,5.92,1.53,17.25
0.78,1785,1397.4,0.64,0.85,12.98,12.22,2.04,17.25
0.99,1753.14,1736.67,0.66,0.66,10.83,6.55,1.63,17.25
0.77,2794.82,2154.03,0.72,0.93,6.92,6.38,2.01,17.24
0.73,2762.97,2021.69,0.7,0.95,8.79,7.51,2.13,17.24
1.12,1288.8,1448.6,0.7,0.57,11.59,10.81,1.44,17.23
0.82,2350.87,1919.08,0.72,0.88,10.71,6.73,1.91,17.23
1.48,1417.29,2100.04,0.69,0.46,9.63,5.92,1.1,17.22
0.68,2597.7,1827.2,0.68,1.02,10.37,6.69,2.24,17.22
1.04,1402.3,1464.21,0.63,0.61,10.4,9.4,1.57,17.22
0.95,1900.67,1800.52,0.71,0.75,6.38,5.18,1.7,17.22
0.84,2129.7,1786.5,0.76,0.84,10.73,6.57,1.86,17.21
1.14,1291.2,1470.8,0.72,0.56,11.57,10.94,1.41,17.21
0.93,1827.3,1694.3,0.67,0.76,8.39,8.26,1.71,17.21
1.6,710.55,1139.61,0.58,0.36,5.98,3.8,1.04,17.21
1.06,1521.6,1619.9,0.58,0.64,9.71,7.35,1.54,17.19
0.67,2588.95,1730.49,0.69,1.03,10.86,9.56,2.32,17.19
1.62,983.5,1591.35,0.67,0.41,7.22,6.98,1.02,17.18
1.04,1414.69,1472.27,0.63,0.61,10.45,9.49,1.57,17.18
0.99,2025.35,2002.49,0.69,0.69,8.43,7.3,1.61,17.18
1.12,1394.52,1567.23,0.67,0.6,5.62,4.86,1.44,17.18
1.12,1253.7,1402,0.54,0.58,10.15,9.82,1.46,17.17
0.82,2349.4,1917.8,0.77,0.88,10.71,6.73,1.9,17.17
1.02,2180.4,2219,0.69,0.68,7.06,6.39,1.56,17.16
0.81,1773.79,1441.67,0.67,0.83,10.45,10.09,1.93,17.15
0.72,2613.84,1887.52,0.71,0.99,9.28,6.55,2.12,17.14
0.71,3341.6,2370.9,0.75,1.01,7.45,5.82,2.16,17.13
0.87,2534.92,2211.66,0.68,0.77,7.34,5.62,1.82,17.13
0.85,2280.82,1941.85,0.71,0.83,9.5,5.6,1.83,17.13
2.99,368.92,1103.13,0.54,0.18,7.06,4.97,0.57,17.13
1.34,1317.45,1769.12,0.66,0.49,7.2,5.23,1.22,17.13
0.73,2213.79,1616.6,0.69,0.94,13.35,4,2.13,17.12
0.76,4044.41,3085.16,0.74,0.97,6.09,5.43,2.03,17.11
0.83,1806.14,1490.97,0.66,0.8,11.52,10.07,1.93,17.1
1.05,1368.2,1443.31,0.63,0.6,10.34,9.36,1.54,17.09
0.72,2283.81,1664.97,0.63,0.87,9.7,8.18,2.13,17.09
0.67,3149.61,2107.8,0.71,1.06,6.76,5.74,2.25,17.08
1.62,705.05,1140.24,0.62,0.38,8.61,8.57,1.03,17.08
0.83,2379.25,1973.69,0.71,0.85,12.27,5.81,1.87,17.08
0.67,3449.5,2327.3,0.67,1.06,7.96,5.55,2.3,17.07
0.79,2378.31,1880.87,0.67,0.85,9.07,7.81,1.97,17.07
0.75,2700.4,2014.1,0.68,0.96,7.69,7.02,2.06,17.06
0.79,2361.98,1864.94,0.69,0.87,7.26,6.01,1.97,17.06
0.74,2506.86,1847.28,0.69,0.93,9.82,6.44,2.1,17.05
1.14,1224.58,1390.17,0.65,0.57,12.59,3.83,1.42,17.04
1.03,2128.5,2187.4,0.68,0.67,6.86,6.21,1.54,17.04
1.03,1425.4,1474.3,0.64,0.61,10.55,9.56,1.56,17.04
0.64,4392.55,2804.53,0.75,1.17,5.91,4.9,2.37,17.03
0.72,2304.6,1651.1,0.72,0.99,10.09,9.36,2.14,17.02
0.87,1834.7,1594.1,0.7,0.78,12.83,4.32,1.8,17.02
1.03,1751.4,1806.4,0.62,0.63,9.53,6.46,1.54,17.02
1.77,534.76,949.11,0.56,0.32,6.71,6.04,0.95,17.02
0.97,1865.09,1811.43,0.68,0.7,8.97,8.08,1.63,17.02
0.82,2293.2,1880.2,0.77,0.87,10.71,6.7,1.88,17.01
1.38,1111.2,1533.1,0.53,0.45,8.08,5.71,1.17,16.99
0.71,2706.65,1911.92,0.73,1.03,8.66,6.58,2.17,16.99
0.7,3036.98,2125,0.72,1.02,7.81,6.68,2.17,16.99
1.12,1166.76,1680.42,0.56,0.5,5.65,4.02,1.44,16.99
1.12,1499.6,1684,0.46,0.62,5.65,4.02,1.44,16.98
1.18,1241.15,1463.21,0.64,0.54,11.21,9.88,1.35,16.97
0.86,2109.98,1808.98,0.69,0.81,10.25,4.93,1.81,16.97
0.91,1943.46,1808.5,0.63,0.69,9.95,9.19,1.71,16.97
0.83,2083.63,1733.07,0.67,0.81,9.06,6.74,1.89,16.96
1.14,1224.58,1390.17,0.65,0.57,12.59,3.83,1.41,16.95
0.78,2067.75,1612.04,0.69,0.89,17.07,7.18,2.01,16.95
1.21,1287,1551.4,0.47,0.49,9.33,6.79,1.35,16.94
1.14,1268,1449.3,0.7,0.56,11.51,10.74,1.39,16.93
0.92,0,0,0.55,0.74,12.69,3.67,1.73,16.93
0.96,2398.71,2307.47,0.69,0.72,8.14,5.87,1.62,16.93
0.67,2409.63,1623.11,0.68,1.02,9.3,8.05,2.29,16.93
0.87,1443.74,1261.65,0.66,0.75,9.58,5.48,1.78,16.93
0.97,1865.09,1811.43,0.68,0.7,8.97,8.08,1.62,16.92
1.92,585.38,1122.27,0.59,0.31,9.02,8.74,0.86,16.92
1.01,1777.51,1809.66,0.59,0.58,8.97,8.08,1.56,16.92
0.71,2655.19,1896.89,0.73,1.02,9.35,6.35,2.14,16.91
0.72,2319.9,1679.3,0.71,0.97,9.7,8.18,2.12,16.9
2.32,602.8,1397.13,0.58,0.25,6.41,4.93,0.71,16.9
1.14,1278.78,1454.41,0.64,0.56,11.44,10.82,1.39,16.89
1.08,1018.74,1098.71,0.52,0.49,9.43,7.4,1.48,16.88
0.78,1778.79,1392.58,0.67,0.85,13,12.22,1.99,16.88
1.15,1259.6,1442.4,0.7,0.55,11.48,10.75,1.38,16.87
1.17,1202.6,1413.4,0.69,0.54,11.35,10.98,1.35,16.87
1.04,1413.35,1472.78,0.63,0.61,10.45,9.45,1.54,16.87
0.92,1698.06,1555.35,0.69,0.75,9.44,9.08,1.69,16.87
1.25,1858.81,2325.24,0.65,0.52,5.91,5.27,1.28,16.87
0.79,2128.7,1672.88,0.69,0.87,10.1,8.08,1.97,16.86
0.72,2330.5,1686.91,0.7,0.97,9.7,8.18,2.1,16.86
0.98,1534.8,1508.7,0.62,0.68,13.3,4.99,1.62,16.85
0.82,2848.75,2344.43,0.71,0.86,6.05,4.69,1.88,16.85
1.2,1242.72,1488.51,0.65,0.54,11.06,9.73,1.32,16.85
2.33,463.61,1082.47,0.57,0.24,8.29,6.18,0.71,16.84
0.72,2657.3,1901.97,0.72,1.01,8.08,6.68,2.12,16.84
0.58,4069.16,2371.65,0.74,1.27,8.69,5.49,2.54,16.84
0.79,1976.97,1607.21,0.53,0.67,10.1,6.78,1.98,16.84
0.77,2349.9,1812.6,0.72,0.91,12.81,4.06,1.97,16.83
0.98,1964.8,1923.1,0.71,0.7,9.5,7.3,1.59,16.82
0.74,2173.78,1616.08,0.68,0.92,13.11,3.92,2.06,16.82
0.79,2434.9,1931.2,0.64,0.86,9.61,4.28,1.96,16.81
0.8,3098.7,2492.9,0.79,0.9,8.96,5.39,1.9,16.81
1.05,1389.26,1457.55,0.63,0.6,10.4,9.41,1.52,16.81
1.17,1219,1429,0.71,0.54,11.53,10.95,1.35,16.8
0.65,2594.66,1683.27,0.69,1.07,11.04,9.67,2.34,16.8
0.58,3542.62,2060.77,0.73,1.26,7.29,6.4,2.51,16.8
0.7,2748.5,1982.27,0.66,0.94,10.82,8.63,2.17,16.8
3.49,356.61,1246.13,0.56,0.16,8.88,4.78,0.47,16.79
0.98,1952.41,1910.98,0.69,0.7,9.5,7.33,1.59,16.79
1.02,2744.72,2799.25,0.7,0.69,5.81,4.78,1.53,16.79
1.14,1258.6,1440.5,0.71,0.56,11.48,10.81,1.38,16.78
1.17,1295.94,1460.12,0.58,0.5,11.41,10.64,1.35,16.78
1.18,1243.6,1465.36,0.64,0.54,11.21,9.91,1.33,16.77
0.57,4442.81,2528.61,0.72,1.27,6.47,5.02,2.58,16.77
0.87,2625.4,2293.41,0.71,0.81,6.01,5.23,1.76,16.76
0.96,1778.02,1704.56,0.68,0.7,8.33,7.47,1.61,16.76
1.17,1303.9,1473.68,0.6,0.51,11.55,10.95,1.34,16.76
2.75,366.4,1009.4,0.37,0.17,6.6,5.39,0.6,16.75
1.18,1210.4,1417.5,0.71,0.54,11.4,10.65,1.33,16.75
1.19,1232.16,1461.79,0.64,0.54,11.02,9.8,1.32,16.75
1.18,1239.19,1463.81,0.64,0.54,11.17,9.87,1.33,16.74
0.94,0,0,0.66,0.7,5.67,3.41,1.64,16.74
0.82,2459.55,2025.02,0.71,0.86,9.76,6.45,1.84,16.74
0.68,2606.47,1777.34,0.67,0.98,9.56,7.54,2.23,16.74
1.13,1271.5,1440.5,0.71,0.56,11.26,10.83,1.39,16.73
0.74,1726.87,1272.17,0.65,0.88,17.07,13.34,2.12,16.73
0.78,2005.18,1564.43,0.65,0.84,9.63,7.63,1.98,16.73
1.07,1348.2,1440.97,0.62,0.58,10.2,9.21,1.49,16.72
0.59,3843.28,2252.31,0.73,1.24,7.32,5.15,2.51,16.72
0.79,2001.98,1576.84,0.65,0.82,10.1,6.78,1.97,16.71
0.78,2469.01,1931.43,0.68,0.88,9.61,4.28,1.97,16.7
0.77,2331.67,1798.57,0.71,0.91,12.81,4.06,1.95,16.7
0.8,2246.78,1800.04,0.68,0.85,9.52,6.51,1.91,16.7
1.08,1404.08,1321.05,0.51,0.48,12.19,10.31,1.48,16.7
0.79,2934.92,2324.15,0.72,0.91,6.42,5.84,1.91,16.69
0.67,2857.54,1921.41,0.69,1.02,9.48,6.79,2.24,16.69
0.63,2953.25,1852.2,0.73,1.16,7.7,6.45,2.34,16.67
0.61,4664.17,2837.18,0.73,1.2,8.35,5.15,2.4,16.67
1.04,1578.81,1634.28,0.68,0.65,10.8,7.21,1.5,16.67
1.03,1781.13,1847.66,0.62,0.61,9.17,8.86,1.51,16.67
0.6,3517.81,2118.66,0.73,1.21,7.55,5.69,2.42,16.66
0.74,3059.3,2265.18,0.68,0.92,6.86,5.93,2.03,16.66
0.64,3723.96,2385.92,0.73,1.13,7.14,5.86,2.28,16.66
0.97,0,0,0.52,0.53,3.53,2.3,1.62,16.65
1.05,1675.91,1757.77,0.7,0.67,9.62,8.35,1.49,16.65
0.91,1971.8,1793.7,0.73,0.74,9.94,9.19,1.67,16.64
1.18,1218.3,1432.3,0.71,0.54,11.49,10.88,1.32,16.63
1.18,1240.14,1465,0.64,0.54,11.11,9.85,1.32,16.63
0.71,2461.34,1741.95,0.68,0.96,10.6,8.23,2.17,16.63
1.04,1581.1,1647.8,0.62,0.65,9.38,5.59,1.49,16.62
0.7,2835.14,1984.39,0.71,1.01,10.82,8.63,2.14,16.62
0.98,1626.8,1599.2,0.62,0.66,10.2,9.33,1.59,16.62
1.12,1249.7,1402.5,0.58,0.57,18.13,5.71,1.4,16.62
0.81,2680.57,2165.22,0.72,0.89,9.31,8.71,1.87,16.62
0.66,4112.09,2710.43,0.74,1.13,5.56,4.85,2.25,16.62
1.18,1275.43,1468.99,0.6,0.51,11.52,10.82,1.32,16.62
0.83,2634.39,2177.94,0.72,0.88,5.85,4.87,1.81,16.61
0.74,2940.74,2178.69,0.71,0.96,8.22,6.56,2.03,16.61
0.76,3466.48,2701.16,0.65,0.86,6.65,5.07,1.99,16.61
0.83,2263.69,1929.3,0.57,0.68,9.61,4.28,1.85,16.61
0.72,2927.48,2117.33,0.69,0.96,6.03,4.84,2.09,16.59
1,2146.74,2148.5,0.66,0.66,7.23,5.57,1.56,16.59
1.92,758.3,1454,0.49,0.3,6.23,4.05,0.84,16.57
1.04,1582.5,1645.2,0.62,0.66,9.38,5.62,1.49,16.57
0.78,2112.02,1640.46,0.7,0.9,7.04,6.58,1.98,16.57
0.92,2856.77,2637.2,0.7,0.76,6.14,5.25,1.64,16.56
0.76,2371.82,1793.18,0.68,0.9,9.23,6.86,1.99,16.56
0.85,1792.54,1585.09,0.53,0.62,10.96,9.27,1.81,16.56
1.15,1272.2,1459.4,0.7,0.55,11.31,10.53,1.35,16.53
1.11,1423.81,1584.77,0.67,0.6,9.76,5.56,1.39,16.53
1.18,1250,1475.7,0.72,0.55,11.53,10.82,1.31,16.51
0.82,2386,1947.3,0.68,0.83,7.14,6.23,1.83,16.51
1.19,1235.63,1466.31,0.63,0.53,11.07,9.8,1.3,16.51
0.93,1972.34,1839.45,0.7,0.75,5.4,4.51,1.65,16.5
0.64,3121.58,1986.14,0.72,1.13,7.04,6.08,2.27,16.5
0.58,4207.32,2455.07,0.73,1.25,7.76,4.83,2.46,16.5
0.74,3532.66,2710.77,0.65,0.87,6.68,5.08,2.01,16.5
0.98,1646.8,1615.7,0.62,0.66,10.22,9.39,1.58,16.49
0.61,3601.55,2208.12,0.72,1.17,7.1,6.19,2.35,16.49
0.84,2426.91,2042.27,0.71,0.84,6.91,5.57,1.78,16.49
0.8,1692.24,1360.2,0.66,0.82,13.61,8.02,1.92,16.49
0.78,2028.2,1578.5,0.71,0.87,10.69,9.07,1.92,16.48
0.95,0,0,0.66,0.69,5.65,3.4,1.6,16.48
0.81,2561.48,2063.77,0.7,0.87,9.55,4.98,1.86,16.48
1.12,1248.22,1404.12,0.64,0.57,18.14,5.71,1.38,16.48
0.86,2349.56,2011.61,0.69,0.8,8.29,5.16,1.76,16.47
0.88,1865.47,1648.9,0.66,0.75,9.73,8.75,1.73,16.47
2.34,588.79,1378.81,0.59,0.25,6.38,4.9,0.69,16.46
0.8,2254.02,1812.24,0.69,0.86,8.48,7.51,1.88,16.46
1,2282.15,2271.94,0.71,0.72,7.43,6.21,1.51,16.45
1.16,1056.35,1225.99,0.62,0.54,15.42,5.64,1.35,16.45
0.88,2121.25,1867.33,0.7,0.8,7.97,6.51,1.7,16.45
0.98,2170.7,2136.58,0.7,0.71,6.79,5.28,1.54,16.44
0.8,2667.67,1808.71,0.59,0.73,6.07,4.23,1.9,16.44
0.66,2470.6,1627.2,0.68,1.04,10.96,9.59,2.26,16.43
1.18,1209.2,1422.9,0.72,0.54,11.53,10.84,1.3,16.42
0.99,1551.57,1532.88,0.67,0.68,5.8,5.08,1.57,16.42
0.96,2271.85,2185.39,0.71,0.74,7.97,6.53,1.57,16.41
1.04,2142.9,2221.4,0.68,0.67,6.95,6,1.47,16.4
1.19,1238.2,1474.6,0.71,0.54,11.6,10.85,1.29,16.4
1.19,1226.38,1457.28,0.63,0.53,11.03,9.83,1.29,16.4
0.93,2553.11,2372.72,0.7,0.75,6.88,5.43,1.62,16.4
0.66,3006.64,1972.45,0.71,1.09,7.26,5.61,2.22,16.4
0.9,1794,1613.6,0.73,0.76,10.62,9.14,1.67,16.39
1.08,978.45,1058.56,0.67,0.62,5.29,4.48,1.44,16.39
1.31,935.2,1222.96,0.57,0.44,10.31,9.73,1.2,16.39
0.9,1764.7,1596.1,0.62,0.71,10.26,9.9,1.7,16.38
1.19,1249.92,1492.6,0.65,0.54,11.08,9.94,1.29,16.38
0.66,2479.55,1632.79,0.68,1.04,10.91,9.54,2.25,16.38
1.28,880.03,1122.63,0.57,0.45,11.04,9.63,1.23,16.38
0.8,2864.08,2281.24,0.72,0.9,7.49,5.99,1.84,16.37
0.72,2317.37,1641.19,0.63,0.89,10.09,9.35,2.06,16.37
3.04,0,0,0.42,0.18,12.74,2.98,0.53,16.36
0.82,2212.42,1817.25,0.69,0.85,9.91,7.31,1.81,16.36
0.97,1803.86,1744.58,0.67,0.69,8.19,7.15,1.58,16.35
1.2,1234.8,1485.51,0.65,0.54,10.97,9.84,1.27,16.35
1.21,1191.67,1437.33,0.61,0.51,7.55,6.74,1.3,16.35
0.89,2760.7,2448.7,0.74,0.81,7.05,5.31,1.67,16.34
0.75,2224.21,1665.43,0.69,0.93,10.62,9.36,1.98,16.34
1.08,1239.83,1334.58,0.64,0.59,12.17,10.29,1.44,16.34
0.96,2100,2012.16,0.67,0.69,6.51,5.4,1.59,16.33
0.63,3785.02,2398.51,0.72,1.13,5.48,4.21,2.28,16.33
0.64,3237.51,2087.45,0.72,1.11,7.23,5.03,2.24,16.33
0.9,1786.68,1607.05,0.69,0.77,10.62,9.14,1.67,16.33
0.98,1823.78,1795.39,0.66,0.67,8.26,5.96,1.54,16.33
1.13,2296.53,0,0.5,0.44,4.78,3.5,1.39,16.33
0.69,3014.1,2082.1,0.75,1.02,9.9,6.53,2.11,16.32
0.78,2966.4,2315.7,0.72,0.9,6.36,5.95,1.89,16.32
2.32,419.6,972.89,0.57,0.25,9.46,7.63,0.69,16.32
1.31,925.5,1210.3,0.5,0.44,10.31,9.73,1.19,16.31
1.06,532.16,563.53,0.58,0.54,5.03,3.91,1.45,16.31
0.84,3491.09,2930.88,0.71,0.85,5.7,4.65,1.77,16.3
0.82,2582.27,2107.11,0.69,0.85,6.99,4.3,1.84,16.3
1.19,1283.42,1458.11,0.58,0.48,11.6,10.84,1.29,16.3
1.04,974.11,1012.34,0.57,0.55,11.79,8.49,1.5,16.29
1.39,883.4,1226.14,0.58,0.42,5.67,4.62,1.12,16.29
0.86,2333.1,1997.5,0.7,0.81,8.29,5.16,1.74,16.28
2.46,366,901.65,0.56,0.23,7.77,7.68,0.65,16.28
0.85,2323.53,1974.71,0.7,0.82,9.51,8.87,1.75,16.28
0.82,2711.22,2217.93,0.69,0.85,7.97,6.08,1.83,16.27
0.79,2678.07,2102.47,0.69,0.88,8.6,5.12,1.86,16.26
1.19,1225.42,1456.82,0.63,0.53,11,9.84,1.28,16.26
0.94,1944.71,1835.24,0.68,0.72,9.8,6.09,1.59,16.26
1.19,1244.7,1486.3,0.71,0.54,11.47,10.71,1.28,16.25
0.81,2810.48,2280.06,0.7,0.86,7.04,6.11,1.82,16.25
0.95,2064.92,1959.15,0.64,0.67,6.56,5.52,1.61,16.24
0.96,1635.7,1570.2,0.62,0.64,9.79,8.86,1.58,16.23
0.84,2176.3,1829.2,0.73,0.82,11.33,4.96,1.76,16.23
0.58,4321.46,2509.41,0.72,1.24,6.41,4.97,2.45,16.23
0.92,1726.7,1585.6,0.73,0.75,10.66,9.11,1.62,16.22
0.94,2102.52,1972.6,0.66,0.7,6.28,5.4,1.61,16.22
0.91,1291.06,1178.81,0.65,0.71,10.19,9.79,1.66,16.21
1.02,1716.94,1743.43,0.61,0.6,7.38,5.62,1.52,16.21
0.88,2142.5,1907.3,0.67,0.76,7.58,6.81,1.68,16.2
1.44,1667.7,2396.8,0.78,0.5,9.11,7.6,1.06,16.2
1.22,1204.9,1479.7,0.72,0.54,11.4,10.62,1.25,16.2
