Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS 
1.84,1091.74,2013.57,0.7,0.38,7.54,5.12,1.37,26.05
0.58,3396.7,1968.4,0.82,1.34,15.45,6.03,3.95,26.03
0.98,1394.72,1361.02,0.71,0.73,10.13,9.53,2.53,26.02
0.69,3211.65,2173.61,0.72,1.05,13.72,6.45,3.41,26.01
0.61,3578.27,2190.82,0.78,1.28,13.83,6.7,3.75,25.98
0.51,4432.4,2244.6,0.81,1.57,16.2,14.75,4.46,25.97
0.69,3156.93,2164.61,0.78,1.14,13.72,6.45,3.41,25.96
0.58,3141.28,1807.34,0.76,1.32,11.82,10.23,4.06,25.95
0.56,3709.69,2059.54,0.72,1.27,10.12,8.6,4.05,25.92
0.69,1889.1,1307.3,0.78,1.1,18.91,18.73,3.43,25.9
0.82,1620.12,1333.99,0.7,0.86,9.92,9.46,2.96,25.9
1.08,2457.04,2652.78,0.75,0.69,7.56,5.85,2.27,25.9
0.5,4791.51,2399.13,0.76,1.51,7.93,6.98,4.49,25.89
0.71,1885.38,1344.7,0.77,1.08,16.8,16.72,3.29,25.89
0.6,3690.8,2134.6,0.84,1.31,19.37,6.77,3.79,25.87
1.6,896.48,1437.9,0.71,0.45,6.46,4.78,1.57,25.87
0.65,3285.01,2126.85,0.76,1.17,9.81,7.51,3.54,25.86
0.51,5323.25,2696.55,0.77,1.52,6.7,6.08,4.36,25.85
0.67,3195.9,2146.2,0.77,1.14,10.01,7.76,3.47,25.82
0.82,2931.75,2417.32,0.91,1.11,11.32,10.09,3.02,25.82
0.88,2276.71,1993.31,0.66,0.76,7.34,6.25,2.76,25.82
0.69,3380.13,2321.84,0.78,1.14,14.4,5.38,3.38,25.82
0.79,3268.3,2569.43,0.76,0.97,7.41,6.6,3.04,25.81
0.61,3716.8,2272.22,0.76,1.24,11.05,9.02,3.74,25.79
1.1,2170.22,2395.83,0.85,0.77,10.29,7.75,2.27,25.76
0.63,3887.64,2453.85,0.78,1.24,7.43,6.88,3.64,25.75
0.81,2641.62,2140.98,0.75,0.92,8.01,7.14,2.92,25.73
0.92,2803.29,2581.3,0.76,0.83,7.43,6.57,2.61,25.72
0.65,1790.31,1166.77,0.73,1.13,19.35,13.01,3.61,25.71
0.79,3802.57,3007.89,0.74,0.94,6.36,4.75,2.99,25.69
0.67,3165.67,2125.92,0.77,1.15,10,7.77,3.44,25.69
0.56,3185.5,1782.6,0.78,1.36,12.15,10.92,4.07,25.68
0.59,5124.41,3048.9,0.77,1.3,7.66,5.8,3.82,25.68
1.26,1413.8,1783.9,0.75,0.59,19.52,6.65,1.93,25.67
